URL,Size(Bytes),# of OutLinks,Content Type
nytimes.com/,1168263,214,text/html
nytimes.com/2024/10/03/nyregion/lawler-blackface-michael-jackson.html,315620,130,text/html
nytimes.com/2024/10/03/opinion/israel-iran-nuclear-weapons.html,293386,108,text/html
nytimes.com/2024/10/03/opinion/housing-crisis-dodd-frank-financial-crisis.html,295740,114,text/html
nytimes.com/2015/11/09/nyregion/yale-culturally-insensitive-halloween-costumes-free-speech.html,270612,107,text/html
nytimes.com/2024/10/02/world/middleeast/hezbollah-beirut-dahiya.html,328830,118,text/html
nytimes.com/2024/09/25/nyregion/republicans-union-labor-endorsement.html,356076,122,text/html
nytimes.com/2024/10/03/us/politics/trump-jan-6-jack-smith-brief.html,376017,123,text/html
nytimes.com/2019/01/31/opinion/letters/letters-to-editor-new-york-times-women.html,276190,106,text/html
nytimes.com/2005/06/14/us/michael-jackson-cleared-after-14week-child-molesting-trial.html,262521,102,text/html
nytimes.com/2024/10/03/movies/joker-folie-a-deux-review.html,318389,127,text/html
nytimes.com/2024/09/18/us/politics/teamsters-endorsement-2024-election.html,334671,125,text/html
nytimes.com/2024/09/03/nyregion/linda-sun-arrested-hochul.html,385099,121,text/html
nytimes.com/2024/07/01/nyregion/steve-bannon-prison-jan-6.html,286522,118,text/html
nytimes.com/2024/10/03/opinion/putin-russia-nuclear-weapons.html,294930,127,text/html
nytimes.com/2022/09/25/upshot/starter-home-prices.html,439854,149,text/html
nytimes.com/2004/05/23/opinion/editors-note-the-letters-editor-and-the-reader-our-compact-updated.html,245173,100,text/html
nytimes.com/2023/03/28/us/politics/pence-testify-jan-6-grand-jury.html,303010,118,text/html
nytimes.com/2024/04/25/world/asia/blinken-china-united-states-thaw.html,362571,130,text/html
nytimes.com/2019/02/08/us/northam-blackface-virginia.html,338062,129,text/html
nytimes.com/2024/07/19/us/politics/teamsters-speech.html,344976,119,text/html
nytimes.com/2024/09/15/movies/fall-movies.html,361882,140,text/html
nytimes.com/2024/07/11/us/politics/teamsters-trump-biden.html,366678,127,text/html
nytimes.com/2024/10/03/opinion/jd-vance-trump-walz.html,337108,124,text/html
nytimes.com/2024/10/01/world/middleeast/israel-retaliate-iran-missile-attack.html,289685,113,text/html
nytimes.com/2024/10/03/opinion/trump-trade-war-china.html,297516,126,text/html
nytimes.com/2021/11/15/us/politics/biden-signs-infrastructure-bill.html,309145,114,text/html
nytimes.com/article/best-movies-shows-hulu.html,667797,268,text/html
nytimes.com/2021/03/09/us/politics/house-labor-rights-bill.html,310367,115,text/html
nytimes.com/2019/02/02/us/politics/ralph-northam-virginia-governor.html,371961,120,text/html
nytimes.com/2023/03/17/us/politics/trump-lawyer-testify-documents.html,311210,117,text/html
nytimes.com/2019/07/11/world/asia/taiwan-president-united-states-china.html,272610,116,text/html
nytimes.com/2024/05/30/nyregion/trump-convicted-hush-money-trial.html,444412,147,text/html
nytimes.com/interactive/2023/08/01/us/politics/trump-jan-6-indictment-2020-election-annotated.html,321225,176,text/html
nytimes.com/interactive/2024/07/01/upshot/congestion-pricing.html,285413,128,text/html
nytimes.com/2022/10/05/opinion/putin-nuclear-ukraine.html,315208,135,text/html
nytimes.com/2024/01/28/movies/sundance-film-festival-documentaries.html,297828,128,text/html
nytimes.com/2021/01/06/us/politics/trump-riot-dc-capitol-photos.html,378771,122,text/html
nytimes.com/interactive/2021/01/12/us/capitol-mob-timeline.html,351206,124,text/html
nytimes.com/2024/08/06/nyregion/shujun-wang-conviction-spy-china.html,302891,116,text/html
nytimes.com/2023/03/04/us/politics/trump-pence-executive-privilege.html,282388,112,text/html
nytimes.com/2024/08/19/nyregion/avlon-lalota-residency-congress.html,387935,122,text/html
nytimes.com/2024/08/24/business/economy/labor-workers-republicans-trump-vance.html,356434,145,text/html
nytimes.com/2024/09/26/movies/saturday-night-review.html,385325,133,text/html
